mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,label
-361.1708,119.27684,-4.3331265,46.18238,-6.5171013,21.346313,-1.6331588,3.7748625,12.272877,1.0183583,9.034493,19.440365,0.15675409,3.1256416,2.203015,-9.67117,-4.180718,-2.6981997,-7.6316385,-1.6322132,April
-375.39084,128.02818,0.21362796,43.84658,-0.599311,17.33023,-1.8943135,9.03774,6.8659644,0.88811225,14.982199,17.666866,-4.6449213,2.9579282,-0.6776001,-9.290026,-2.1049523,-6.000216,-6.9474626,-2.7903562,April
-353.00766,129.38153,-4.073359,49.93224,-3.4176593,19.783485,-0.6386652,3.6601026,9.2089615,3.537944,15.157633,19.174322,-2.1908321,3.3768337,3.4757316,-7.7120924,-3.553191,-2.696766,-4.8249903,-3.1465242,April
-357.10086,124.90023,-12.160759,48.59547,-2.1510763,14.667038,-2.6948223,5.727895,6.0613475,4.6673055,10.597968,15.934126,1.9964533,5.297805,3.818396,-4.771169,-3.2535086,-3.2246196,-2.7149522,-0.49120903,April
-366.3804,124.63713,-9.333525,44.554283,0.79843557,14.337432,-6.8026233,7.3991537,11.266683,1.925434,10.139289,17.983261,-0.8133741,5.052477,3.589353,-7.730985,-2.249035,-1.8385931,-3.7680159,-2.2145846,April
-392.68845,119.527855,8.410763,42.61838,1.2578115,21.702593,-5.711241,9.89863,7.5663037,2.3136585,15.027913,7.6573954,2.8227751,5.3406625,-1.6346728,-7.5756454,-2.2963064,-8.640256,-5.954259,-2.417775,April
-386.95047,119.83025,-2.5878754,44.33591,3.4860103,16.997595,-5.737643,7.3611794,10.593483,0.25294235,12.468638,15.968553,-1.7274622,3.7495325,3.0146022,-7.1405334,-2.9585454,-4.975895,-5.802045,-1.1049906,April
-387.0037,123.00487,-6.247791,38.656315,1.862814,14.842144,-5.1611624,8.405557,8.378792,0.12414388,11.426967,15.311833,-3.4498694,6.193298,0.478834,-7.6166544,-2.2495122,-7.5017037,-7.4107885,-1.4856385,April
-380.99118,116.19639,-6.883809,36.45543,-3.832006,16.558115,-12.095559,6.4892106,7.074705,-0.2563531,12.18889,14.190721,-2.040231,5.8480062,-1.4719772,-9.091558,-3.5636349,-7.1122255,-10.490559,-2.6320472,April
-376.77448,86.54686,-0.69964206,32.44968,-10.585159,13.979943,-5.2783313,11.595469,-1.2601632,-1.3051107,23.31313,2.3807335,0.18910134,11.416569,-6.319715,2.0461586,-7.115941,-10.569898,-7.735344,7.633706,April
-374.55014,99.79879,-2.0956018,34.983738,-10.118944,9.153083,-7.038933,8.724955,-4.3546476,0.7402077,21.7165,6.188723,-0.9717958,13.33407,-4.8302717,1.0129583,-7.3432436,-10.949447,-8.961708,3.8615685,April
-364.9333,105.12807,1.0577484,37.154953,-10.064574,14.471481,-4.5945454,9.086434,-1.5592763,8.567593,21.725065,11.05365,-0.53614515,11.650197,0.16297413,-0.27000645,-5.7364016,-8.218279,-5.2119303,5.593026,April
-374.78793,107.708534,2.514478,38.187332,-8.148992,11.986821,-4.9205365,7.426056,-1.3861687,6.307371,19.489302,10.433628,-2.7515097,13.425381,-4.9692836,0.32405955,-5.385049,-8.098561,-4.858912,5.933784,April
-369.01038,111.837616,5.3514357,35.357143,-3.4587562,13.797352,0.38884926,13.657986,0.19183992,8.169696,22.20534,9.905833,-0.9002991,13.674036,-3.9508803,1.9792569,-6.9434137,-7.7774954,-6.2978415,3.2450905,April
-360.2166,110.69959,-0.3097024,41.15178,-3.8274918,11.320009,1.2559693,10.315064,-4.1002574,6.6335144,23.22114,7.2802863,-3.3244839,13.925198,-4.281325,2.0588143,-7.02415,-8.650888,-6.674696,5.186637,April
-332.3386,113.746765,-6.4873457,37.313263,-8.359049,14.787313,-2.3855634,9.860772,0.6749631,7.883887,22.89093,10.644217,-0.074632734,12.119319,-4.1887226,0.03268525,-5.167012,-7.516004,-8.723852,6.58298,April
-369.7706,111.52921,-0.033591174,45.87923,-5.532059,21.563786,-1.038573,4.0819793,13.408073,5.2750664,9.378787,13.747498,2.9831455,6.6736345,2.255582,-6.852614,-3.1683667,-4.08721,-9.378178,0.3157425,April
-352.05344,109.60775,0.4896301,39.910748,-6.3228245,15.942238,1.415782,14.850979,3.4882705,7.1111507,17.587502,9.744775,-3.4177089,11.058022,-2.8661284,1.0948848,-4.3317575,-9.282927,-7.4744635,2.2562308,April
-332.262,113.40375,-0.4073214,44.128567,-6.6473794,14.737414,0.5556055,14.254829,-2.4217997,8.363145,24.12584,8.791513,-3.7710328,11.085599,-0.5207884,0.24581547,-5.905775,-8.25802,-4.3838987,5.7898464,April
-332.26154,115.788414,-1.8343233,40.774986,-7.488701,13.991272,-1.7619944,13.147575,-1.4880557,6.4755607,25.025578,8.381565,-2.4498713,11.549717,-7.31991,-0.3938997,-4.7896147,-8.7881155,-6.0394154,5.68421,April
-349.66275,102.88621,-6.2121787,39.82361,-4.1410484,12.088994,-3.9594784,4.5026326,-0.19154313,8.939462,22.394613,10.530959,-2.591845,6.761569,-6.8009286,1.9785445,-6.3971353,-6.9368615,-6.8626003,4.6928124,April
-352.0895,108.06285,-0.76466405,39.58813,-7.426306,10.536626,-7.4470487,8.926488,-5.769365,6.823126,21.688818,6.2754116,-1.7801955,6.411349,-2.4763365,1.4919809,-7.3797398,-5.9059405,-4.77815,1.414368,April
-345.59692,110.73664,-3.8313773,33.314842,-12.544635,8.809603,-6.186247,14.648677,-4.9115906,7.31859,18.857542,3.8047626,-3.201124,9.133136,-4.056166,4.5732293,-6.2411914,-7.3831854,-5.286153,1.9151789,April
-355.22388,111.86382,-2.0108426,38.625114,-7.0652275,10.146235,-6.907581,9.873886,-3.2639713,9.734659,23.41591,7.327537,-2.221689,10.943655,-4.558494,2.1352947,-7.6716037,-7.306234,-4.861235,2.4164588,April
-350.5405,111.071754,-3.6621478,37.11801,-10.00071,8.107891,-8.591742,7.935364,-5.219097,3.835253,24.253977,4.3997197,-4.312422,10.445174,-6.5874453,1.913681,-7.36541,-9.8739605,-6.823682,1.9434187,April
-354.6003,115.31257,-1.8608098,41.512314,-8.949667,10.953903,-3.527777,9.816544,-3.6376114,13.071518,24.884218,6.3568864,-0.6807146,9.114722,-0.9411786,1.6437906,-4.0337625,-7.7390246,-3.3870523,2.3920798,April
-350.69516,116.16472,-0.17700948,38.97015,-3.5594482,13.363921,-4.8091173,14.130216,-5.5431647,12.520925,24.550165,5.557582,-0.30859667,7.098204,-1.9479944,4.7385917,-7.8669357,-7.623089,-3.817035,1.6470481,April
-398.83545,112.73494,3.529599,42.86609,-1.0825092,20.622173,0.4156686,8.672825,12.104008,7.9854956,10.137605,8.593038,1.4925176,2.7903187,0.35755953,-4.1598563,0.6732765,-2.1281466,-2.962523,-0.3073722,April
-359.45905,111.01652,-0.28034955,35.742687,-7.0136056,12.518257,-4.702328,10.478071,-6.912137,9.925842,23.000584,5.222796,0.13336268,8.288031,-4.5126963,-0.33484623,-6.9629173,-7.104873,-4.161157,-0.37788302,April
-365.03656,109.393265,-2.4144292,40.394184,-4.119956,12.822779,-4.6259522,11.460822,-1.2962264,9.814744,22.519527,7.9637656,-1.5266728,6.8635025,-2.1007297,0.24064226,-8.198511,-4.282216,-4.6712723,-0.22927876,April
